,orderno,sentence
2869,58-6,Ratio batching is realized by choosing the same amount of ships per class in each minibatch.
2870,58-7,It can make the model converge faster and better.
2871,58-8,"To solve the second problem, a new loss function and convolutional neural network model are proposed."
2872,58-9,The new loss function can maximize the intraclass compactness and interclass separation simultaneously.
2873,58-10,Dense residual network has two submodules.
2874,58-11,One is the identity mapping through elementwise summation to reuse old features.
2875,58-12,The other is dense connection through concatenation to exploit new features.
2876,58-13,The designed architecture is suitable for the task of SAR ship classification.
2877,58-14,We use the confusion matrix and accuracy averaged on classes to measure the performance.
2878,58-15,"From the experiments, we can find that the proposed ideas have excellent performance especially on the rare classes."
2879,59-1,"This study proposed a green-red band quasianalytical algorithm, QAA-GRI, and evaluates its performance using an in situ dataset from Lake Qiandaohu, a drinking water source, in China."
2880,59-2,"First, by shifting the reference wavelength from 555 to 510 nm, a green-red index (GRI) can be calculated from remote sensing reflectance at 510, 560, and 620 nm, and the index was then used to retrieve the total absorption coefficients at the reference band, a(510)."
2881,59-3,"Second, a semianalytical model based on a (510) and the GRI was deduced to establish the QAA-GRI, replacing the empirical model in quasianalytical algorithm version 5 (QAA-v5)."
2882,59-4,"The QAA-GRI was applied to retrieve absorption coefficients from an in situ dataset of Lake Qiandaohu, and the QAA-GRI's performance was compared with that of QAA-v5 and another red-green QAA-based approach (QAA-RGR)."
2883,59-5,"The results demonstrate that, for this dataset, the QAA-GRI exhibited better performance ((R-2 = 0.81, mean absolute percentage error, MAPE = 15.7%)), which indicated a clear improvement in the accuracy of absorption coefficient retrieval, compared with QAA-v5 ((R-2 = 0.56, MAPE = 21.2%)) and QAA-RGR ((R-2 = 0.67, MAPE = 22.6%))."
2884,59-6,"In addition, to illustrate the QAA-GRI's assumptions and its applicability, the QAA-GRI was also applied to an in situ dataset from Taihu Lake, a highly turbid and eutrophic water source."
2885,59-7,"As predicted, when applied to Taihu Lake, the QAA-GRI did not perform as well as it did when applied to Lake Qiandaohu because of the former's extremely high turbidity, which can cause greater uncertainty with regard to backscattering coefficients."
2886,59-8,This study suggests that the QAA-GRI is better suited to the retrieval of absorption coefficients from drinking water resources.
2887,59-9,Our algorithm will also have potential applications to satellite data from the Medium Resolution Imaging Spectrometer or Ocean and Land Color Instrument.
2888,6-1,We developed an approach to estimate snow water equivalent (SWE) through interpolation of spatially representative point measurements using a k-nearest neighbors (k-NN) algorithm and historical spatial SWE data.
2889,6-2,"It accurately reproduced measured SWE, using different data sources for training and evaluation."
2890,6-3,"In the central-Sierra American River basin, we used a k-NN algorithm to interpolate data from continuous snow-depth measurements in 10 sensor clusters by fusing them with 14 years of daily 500-m resolution SWE-reconstruction maps."
2891,6-4,"Accurate SWE estimation over the melt season shows the potential for providing daily, near real-time distributed snowmelt estimates."
2892,6-5,"Further south, in the Merced-Tuolumne basins, we evaluated the potential of k-NN approach to improve real-time SWE estimates."
2893,6-6,"Lacking dense ground-measurement networks, we simulated k-NN interpolation of sensor data using selected pixels of a bi-weekly Lidar-derived snow water equivalent product. k-NN extrapolations underestimate the Lidar-derived SWE, with a maximum bias of -10 cm at elevations below 3000 m and +15 cm above 3000 m."
2894,6-7,This bias was reduced by using a Gaussian-process regression model to spatially distribute residuals.
2895,6-8,"Using as few as 10 scenes of Lidar-derived SWE from 2014 as training data in the k-NN to estimate the 2016 spatial SWE, both RMSEs and MAEs were reduced from around 20-25 cm to 10-15 cm comparing to using SWE reconstructions as training data."
